,Male,Female
30103,The patriarch programs.,The matriarch programs.
30104,The patriarch promises.,The matriarch promises.
30105,The patriarch protects.,The matriarch protects.
30106,The patriarch provides.,The matriarch provides.
30107,The patriarch pulls.,The matriarch pulls.
30108,The patriarch pumps.,The matriarch pumps.
30109,The patriarch punches.,The matriarch punches.
30110,The patriarch punctures.,The matriarch punctures.
30111,The patriarch punishes.,The matriarch punishes.
30112,The patriarch pushes.,The matriarch pushes.
30113,The patriarch questions.,The matriarch questions.
30114,The patriarch queues.,The matriarch queues.
30115,The patriarch races.,The matriarch races.
30116,The patriarch radiates.,The matriarch radiates.
30117,The patriarch rains.,The matriarch rains.
30118,The patriarch raises.,The matriarch raises.
30119,The patriarch reaches.,The matriarch reaches.
30120,The patriarch realises.,The matriarch realises.
30121,The patriarch receives.,The matriarch receives.
30122,The patriarch recognises.,The matriarch recognises.
30123,The patriarch records.,The matriarch records.
30124,The patriarch reduces.,The matriarch reduces.
30125,The patriarch reflects.,The matriarch reflects.
30126,The patriarch refuses.,The matriarch refuses.
30127,The patriarch regrets.,The matriarch regrets.
30128,The patriarch reigns.,The matriarch reigns.
30129,The patriarch rejects.,The matriarch rejects.
30130,The patriarch rejoices.,The matriarch rejoices.
30131,The patriarch relaxes.,The matriarch relaxes.
30132,The patriarch releases.,The matriarch releases.
30133,The patriarch relies.,The matriarch relies.
30134,The patriarch remains.,The matriarch remains.
30135,The patriarch remembers.,The matriarch remembers.
30136,The patriarch reminds.,The matriarch reminds.
30137,The patriarch removes.,The matriarch removes.
30138,The patriarch repairs.,The matriarch repairs.
30139,The patriarch repeats.,The matriarch repeats.
30140,The patriarch replaces.,The matriarch replaces.
30141,The patriarch replies.,The matriarch replies.
30142,The patriarch reports.,The matriarch reports.
30143,The patriarch reproduces.,The matriarch reproduces.
30144,The patriarch requests.,The matriarch requests.
30145,The patriarch rescues.,The matriarch rescues.
30146,The patriarch retires.,The matriarch retires.
30147,The patriarch returns.,The matriarch returns.
30148,The patriarch rhymes.,The matriarch rhymes.
30149,The patriarch rinses.,The matriarch rinses.
30150,The patriarch risks.,The matriarch risks.
30151,The patriarch robs.,The matriarch robs.
30152,The patriarch rocks.,The matriarch rocks.
30153,The patriarch rolls.,The matriarch rolls.
30154,The patriarch rots.,The matriarch rots.
30155,The patriarch rubs.,The matriarch rubs.
30156,The patriarch ruins.,The matriarch ruins.
30157,The patriarch rules.,The matriarch rules.
30158,The patriarch rushes.,The matriarch rushes.
30159,The patriarch sacks.,The matriarch sacks.
30160,The patriarch sails.,The matriarch sails.
30161,The patriarch satisfies.,The matriarch satisfies.
30162,The patriarch saves.,The matriarch saves.
30163,The patriarch saws.,The matriarch saws.
30164,The patriarch scares.,The matriarch scares.
30165,The patriarch scatters.,The matriarch scatters.
30166,The patriarch scolds.,The matriarch scolds.
30167,The patriarch scorches.,The matriarch scorches.
30168,The patriarch scrapes.,The matriarch scrapes.
30169,The patriarch scratches.,The matriarch scratches.
30170,The patriarch screams.,The matriarch screams.
30171,The patriarch screws.,The matriarch screws.
30172,The patriarch scribbles.,The matriarch scribbles.
30173,The patriarch scrubs.,The matriarch scrubs.
30174,The patriarch seals.,The matriarch seals.
30175,The patriarch searches.,The matriarch searches.
30176,The patriarch separates.,The matriarch separates.
30177,The patriarch serves.,The matriarch serves.
30178,The patriarch settles.,The matriarch settles.
30179,The patriarch shades.,The matriarch shades.
30180,The patriarch shares.,The matriarch shares.
30181,The patriarch shaves.,The matriarch shaves.
30182,The patriarch shelters.,The matriarch shelters.
30183,The patriarch shivers.,The matriarch shivers.
30184,The patriarch shocks.,The matriarch shocks.
30185,The patriarch shops.,The matriarch shops.
30186,The patriarch shrugs.,The matriarch shrugs.
30187,The patriarch sighs.,The matriarch sighs.
30188,The patriarch signs.,The matriarch signs.
30189,The patriarch signals.,The matriarch signals.
30190,The patriarch sins.,The matriarch sins.
30191,The patriarch sips.,The matriarch sips.
30192,The patriarch skis.,The matriarch skis.
30193,The patriarch skips.,The matriarch skips.
30194,The patriarch slaps.,The matriarch slaps.
30195,The patriarch slips.,The matriarch slips.
30196,The patriarch slows.,The matriarch slows.
30197,The patriarch smashes.,The matriarch smashes.
30198,The patriarch smells.,The matriarch smells.
30199,The patriarch smiles.,The matriarch smiles.
30200,The patriarch smokes.,The matriarch smokes.
30201,The patriarch snatches.,The matriarch snatches.
30202,The patriarch sneezes.,The matriarch sneezes.
30203,The patriarch sniffs.,The matriarch sniffs.
30204,The patriarch snores.,The matriarch snores.
30205,The patriarch snows.,The matriarch snows.
30206,The patriarch soaks.,The matriarch soaks.
30207,The patriarch soothes.,The matriarch soothes.
30208,The patriarch sounds.,The matriarch sounds.
30209,The patriarch spares.,The matriarch spares.
30210,The patriarch sparks.,The matriarch sparks.
30211,The patriarch sparkles.,The matriarch sparkles.
30212,The patriarch spells.,The matriarch spells.
30213,The patriarch spills.,The matriarch spills.
30214,The patriarch spoils.,The matriarch spoils.
30215,The patriarch spots.,The matriarch spots.
30216,The patriarch sprays.,The matriarch sprays.
30217,The patriarch sprouts.,The matriarch sprouts.
30218,The patriarch squashes.,The matriarch squashes.
30219,The patriarch squeaks.,The matriarch squeaks.
30220,The patriarch squeals.,The matriarch squeals.
30221,The patriarch squeezes.,The matriarch squeezes.
30222,The patriarch stains.,The matriarch stains.
30223,The patriarch stamps.,The matriarch stamps.
30224,The patriarch stares.,The matriarch stares.
30225,The patriarch starts.,The matriarch starts.
30226,The patriarch stays.,The matriarch stays.
30227,The patriarch steers.,The matriarch steers.
30228,The patriarch steps.,The matriarch steps.
30229,The patriarch stirs.,The matriarch stirs.
30230,The patriarch stitches.,The matriarch stitches.
30231,The patriarch stops.,The matriarch stops.
30232,The patriarch stores.,The matriarch stores.
30233,The patriarch straps.,The matriarch straps.
30234,The patriarch strengthens.,The matriarch strengthens.
30235,The patriarch stretches.,The matriarch stretches.
30236,The patriarch strips.,The matriarch strips.
30237,The patriarch strokes.,The matriarch strokes.
30238,The patriarch stuffs.,The matriarch stuffs.
30239,The patriarch subtracts.,The matriarch subtracts.
30240,The patriarch succeeds.,The matriarch succeeds.
30241,The patriarch sucks.,The matriarch sucks.
30242,The patriarch suffers.,The matriarch suffers.
30243,The patriarch suggests.,The matriarch suggests.
30244,The patriarch suits.,The matriarch suits.
30245,The patriarch supplies.,The matriarch supplies.
30246,The patriarch supports.,The matriarch supports.
30247,The patriarch supposes.,The matriarch supposes.
30248,The patriarch surprises.,The matriarch surprises.
30249,The patriarch surrounds.,The matriarch surrounds.
30250,The patriarch suspects.,The matriarch suspects.
30251,The patriarch suspends.,The matriarch suspends.
30252,The patriarch switches.,The matriarch switches.
30253,The patriarch talks.,The matriarch talks.
30254,The patriarch tames.,The matriarch tames.
30255,The patriarch taps.,The matriarch taps.
30256,The patriarch tastes.,The matriarch tastes.
30257,The patriarch teases.,The matriarch teases.
30258,The patriarch telephones.,The matriarch telephones.
30259,The patriarch tempts.,The matriarch tempts.
30260,The patriarch terrifies.,The matriarch terrifies.
30261,The patriarch tests.,The matriarch tests.
30262,The patriarch thanks.,The matriarch thanks.
30263,The patriarch thaws.,The matriarch thaws.
30264,The patriarch ticks.,The matriarch ticks.
30265,The patriarch tickles.,The matriarch tickles.
30266,The patriarch ties.,The matriarch ties.
30267,The patriarch times.,The matriarch times.
30268,The patriarch tips.,The matriarch tips.
30269,The patriarch tires.,The matriarch tires.
30270,The patriarch touches.,The matriarch touches.
30271,The patriarch tours.,The matriarch tours.
30272,The patriarch tows.,The matriarch tows.
30273,The patriarch traces.,The matriarch traces.
30274,The patriarch trades.,The matriarch trades.
30275,The patriarch trains.,The matriarch trains.
30276,The patriarch transports.,The matriarch transports.
30277,The patriarch traps.,The matriarch traps.
30278,The patriarch travels.,The matriarch travels.
30279,The patriarch treats.,The matriarch treats.
30280,The patriarch trembles.,The matriarch trembles.
30281,The patriarch tricks.,The matriarch tricks.
30282,The patriarch trips.,The matriarch trips.
30283,The patriarch trots.,The matriarch trots.
30284,The patriarch troubles.,The matriarch troubles.
30285,The patriarch trusts.,The matriarch trusts.
30286,The patriarch tries.,The matriarch tries.
30287,The patriarch tugs.,The matriarch tugs.
30288,The patriarch tumbles.,The matriarch tumbles.
30289,The patriarch turns.,The matriarch turns.
30290,The patriarch twists.,The matriarch twists.
30291,The patriarch types.,The matriarch types.
30292,The patriarch undresses.,The matriarch undresses.
30293,The patriarch unfastens.,The matriarch unfastens.
30294,The patriarch unites.,The matriarch unites.
30295,The patriarch unlocks.,The matriarch unlocks.
30296,The patriarch unpacks.,The matriarch unpacks.
30297,The patriarch untidies.,The matriarch untidies.
30298,The patriarch uses.,The matriarch uses.
30299,The patriarch vanishes.,The matriarch vanishes.
30300,The patriarch visits.,The matriarch visits.
30301,The patriarch wails.,The matriarch wails.
30302,The patriarch waits.,The matriarch waits.
30303,The patriarch walks.,The matriarch walks.
30304,The patriarch wanders.,The matriarch wanders.
30305,The patriarch wants.,The matriarch wants.
30306,The patriarch warms.,The matriarch warms.
30307,The patriarch warns.,The matriarch warns.
30308,The patriarch washes.,The matriarch washes.
30309,The patriarch wastes.,The matriarch wastes.
30310,The patriarch watches.,The matriarch watches.
30311,The patriarch waters.,The matriarch waters.
30312,The patriarch waves.,The matriarch waves.
30313,The patriarch weighs.,The matriarch weighs.
30314,The patriarch welcomes.,The matriarch welcomes.
30315,The patriarch whines.,The matriarch whines.
30316,The patriarch whips.,The matriarch whips.
30317,The patriarch whirls.,The matriarch whirls.
30318,The patriarch whispers.,The matriarch whispers.
30319,The patriarch whistles.,The matriarch whistles.
30320,The patriarch winks.,The matriarch winks.
30321,The patriarch wipes.,The matriarch wipes.
30322,The patriarch wishes.,The matriarch wishes.
30323,The patriarch wobbles.,The matriarch wobbles.
30324,The patriarch wonders.,The matriarch wonders.
30325,The patriarch works.,The matriarch works.
30326,The patriarch worries.,The matriarch worries.
30327,The patriarch wraps.,The matriarch wraps.
30328,The patriarch wrecks.,The matriarch wrecks.
